Price,Close,High,Low,Open,Volume,50_MA,200_MA,Volatility,Daily Returns
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2023-09-19,177.76712036132812,178.3230434602776,175.84123309156146,176.22839490317045,51826900,182.81703735351562,163.52417778015138,4.366383899085758,0.006180983003182039
2023-09-20,174.21315002441406,178.3925098170354,174.1237933470795,177.95570880879336,58436200,182.57210510253907,163.66221641540528,4.420634329460457,-0.019992281641792342
2023-09-21,172.66448974609375,175.01725608596104,172.59500693822505,173.27998896827123,63047900,182.26269104003907,163.7949828338623,4.517633140096566,-0.00888945684125042
2023-09-22,173.51824951171875,175.7915963241489,172.7836433268308,173.3991274596328,56725400,181.95508483886718,163.93785041809082,4.577769854297949,0.0049446169671625295
2023-09-25,174.79885864257812,175.6823824720043,172.88289328236814,172.93253251615403,46172700,181.67011657714843,164.10550743103028,4.602896332035377,0.007380256165925081
2023-09-26,170.70884704589844,173.92526351342306,170.4110267791137,173.54803864674588,64588900,181.23791687011717,164.26245094299315,4.769128634835126,-0.02339838845883302
2023-09-27,169.18994140625,171.78095161168793,167.81999260813018,171.36400935593267,66921800,180.78049407958986,164.40334838867187,4.99318229978907,-0.008897638675048003
2023-09-28,169.4480743408203,170.77832096236608,166.40040416763804,168.1078907839796,56294400,180.30107025146484,164.54795829772948,5.177055784945608,0.0015256990600316378
2023-09-29,169.9642791748047,171.81074638236362,169.10059901226265,170.7683831744606,51814200,179.87103057861327,164.68363311767578,5.277896380065813,0.003046389497151303
2023-10-02,172.48580932617188,173.03181060107437,169.6863201427267,169.97421860938772,52164500,179.5150161743164,164.82707176208496,5.296854248620814,0.014835647605540903
2023-10-03,171.14561462402344,172.36667607241205,169.5771240058018,171.0066338674304,49594600,179.11613830566407,164.97497955322265,5.3825934619714895,-0.007769883837887903
2023-10-04,172.39645385742188,172.9424550881848,169.72602386786275,169.84514590084152,53020300,178.72502655029297,165.16230598449707,5.438080533151087,0.007308625676131442
2023-10-05,173.6373748779297,174.17343922355133,171.42358924241523,172.52551359241795,48527900,178.34128509521486,165.36567260742189,5.428039606984212,0.0071980658113426355
2023-10-06,176.1986083984375,176.69497045530053,171.91995474415313,172.53545399514545,57224100,178.03414794921875,165.59242256164552,5.422919104596296,0.014750473636844674
2023-10-09,177.68768310546875,177.74724412480685,174.52089096334598,175.52353680032698,42390800,177.70504180908202,165.82696388244628,5.425546563042751,0.008451115026198108
2023-10-10,177.09205627441406,178.4123811800482,176.65525523522464,176.8041729428218,43698000,177.3517300415039,166.0429579925537,5.407281596920544,-0.0033520997102604033
2023-10-11,178.49180603027344,178.54144526755815,176.3078159196626,176.90344132377368,47551100,177.04306884765626,166.28186599731444,5.286771116298895,0.007904079862794067
2023-10-12,179.3951873779297,181.01331743803624,177.73732472140046,178.759844529376,56743100,176.81255279541017,166.5271194458008,4.97432810547392,0.005061192262814762
2023-10-13,177.54872131347656,180.60629838312414,176.84388049788197,180.10001451689263,51427100,176.57306427001953,166.77218544006348,4.573475550020609,-0.010292729094026343
2023-10-16,177.41966247558594,177.77704377786506,175.22573542452864,175.4639946753042,52517000,176.51301361083983,167.03632682800293,3.9479530292129006,-0.0007268925224347411
2023-10-17,175.86106872558594,177.12183257732815,173.5281761730158,175.36470667426025,57549400,176.4840493774414,167.27503044128417,3.0973862856722456,-0.00878478590395515
2023-10-18,174.56057739257812,176.2879225352004,173.83589314356078,174.30247461631913,54764400,176.4102392578125,167.505650100708,2.829647152704418,-0.007394992777151277
2023-10-19,174.18338012695312,176.54605322348112,173.91534037415258,174.75914678442408,59302900,176.36080780029297,167.7584044265747,2.8147193133214636,-0.0021608387830701625
2023-10-20,171.6221466064453,174.14365914589465,171.38388737014972,174.03445888939677,64189300,176.26451385498046,167.99197666168212,2.831710087884101,-0.014704235953172273
2023-10-23,171.74127197265625,172.7439178760632,168.69360166729962,169.66648220683237,55980100,176.16941131591796,168.23276748657227,2.7872456610309557,0.0006941141837837339
2023-10-24,172.1780548095703,172.40637709061713,170.2025285754243,171.79089305137515,43816600,176.04988677978517,168.4530066680908,2.807339906471437,0.0025432607543725005
2023-10-25,169.85511779785156,171.8008487599163,169.4083797866938,170.62944146713008,57157000,175.9238116455078,168.65901161193847,2.906983526394726,-0.013491481328952948
2023-10-26,165.67572021484375,170.13305676328346,164.4645956319317,169.1303957533013,70625300,175.73162017822267,168.84125289916992,3.27978496096222,-0.024605661796907485
2023-10-27,166.9960479736328,167.73066925493364,165.6161620916175,165.69558183671225,58499100,175.61686126708983,169.0164543914795,3.5025445940211424,0.00796934974585839
2023-10-30,169.0509796142578,169.92458166587582,167.64131321590813,167.7902309189435,51131000,175.53347229003907,169.20232597351074,3.5409084987017905,0.012305271086112457
2023-10-31,169.52749633789062,169.6565401685357,166.67836791176023,168.11782995408234,44846000,175.4328106689453,169.38390754699708,3.4977360362447105,0.0028187752873134464
2023-11-01,172.70420837402344,172.9623111800798,168.88221462983017,169.75581666227828,56934900,175.36808532714844,169.5755406188965,3.4901618217280665,0.01873862414508376
2023-11-02,176.2780303955078,176.4864939793014,174.18338188289627,174.2429429068373,77334800,175.29760223388672,169.7886508178711,3.5428212072517793,0.020693311732998376
2023-11-03,175.36468505859375,175.53346146527645,172.08870804185926,172.97223177840408,79763700,175.3029623413086,169.99689781188965,3.5672737401429306,-0.005181277183916921
2023-11-06,177.92593383789062,178.1244756256995,174.92791800211177,175.09667927913767,63841300,175.3152719116211,170.20510040283204,3.6628237964229804,0.014605271172135392
